Zeri’s Coffee Roaster, 40, SI, TAPAS
Zeppelin, 42, SI, TAPAS
Zany, 40, NO, 
Zalacain, 30, SI, TAPAS
ZRRCUS, 400, NO, 
Yuste (Hotel NH Palacio de Oquendo), 60, SI, MEDITERRÁNEA
WyCo, 40, SI, BOCADILLO
Vulcano, 45, SI, TAPAS
Volapie, 30, SI, TAPAS
Viña Grande, 30, SI, TAPAS
Vilches, 40, SI, TAPAS
Viceversa, 25, SI, TAPAS
Versalles, 20, NO, 
Velequile Gastromanía, 35, SI, MEDITERRÁNEA
Vadepizza, 40, SI, ITALIANA
VELVET, 200, NO, 
Tápara, 40, SI, TAPAS
Tu Co-Zina, 20, SI, MEDITERRÁNEA
Triple 20, 50, SI, TAPAS
Trinidad, 35, SI, TAPAS
Torre de Sande, 60, SI, MEDITERRÁNEA
Tony's bocatas, 30, SI, BOCADILLO
The Blue Corner Irish, 50, NO, 
Temis 2.0, 60, SI, MEDITERRÁNEA
Telepizza, 60, SI, ITALIANA
Tapería Santisteban, 90, SI, TAPAS
Tal cual, 35, SI, TAPAS
Taberna del Refugio, 55, SI, TAPAS
Sueños de Rock, 40, NO, 
Sir Lancelot, 20, NO, 
Singapur, 55, SI, CHINA
Sibuya Urban Sushibar, 50, SI, JAPONESA
Servicio al Viajero, 40, SI, TAPAS
Sanvi Bar, 40, SI, TAPAS
Santiesteban, 30, SI, TAPAS
Santa Marta, 40, SI, TAPAS
San Juan, 60, SI, MEDITERRÁNEA
Salas, 40, SI, TAPAS
Sala Barroco, 100, NO, 
Sal y Pimienta, 80, SI, MEDITERRÁNEA
Romero, 25, NO, 
Rita, 90, NO, 
Rincon De Europa, 25, SI, TAPAS
Quereles, 40, SI, TAPAS
Que cocine Pepe, 30, SI, MEDITERRÁNEA
Puerta de Mérida, 17, SI, MEDITERRÁNEA
Pub 33, 70, NO, 
Psicopompo, 30, NO, 
Pro-va-lo, 45, SI, MEDITERRÁNEA
Potosí Vinoteca, 35, SI, TAPAS
Potosí, 45, SI, TAPAS
Poppy , 35, SI, TAPAS
Plata Domínguez, 40, SI, TAPAS
Pizzería Teleremo, 40, SI, ITALIANA
Pizzería Bartolo, 40, SI, ITALIANA
Pizza Móvil, 30, SI, ITALIANA
Piccola Italia Ristorante Pizzeria, 25, SI, ITALIANA
Perhaps, 40, SI, TAPAS
Pekin, 90, SI, CHINA
Pasadena, 60, SI, AMERICANA
Paris Doner Kebab, 15, SI, KEBAB
Parador de Cáceres, 90, SI, MEDITERRÁNEA
Pans & Company, 50, SI, BOCADILLO
Palacio Imperial, 70, SI, CHINA
Oxígeno, 100, NO, 
Ornella, 40, SI, TAPAS
Orense, 48, SI, MEDITERRÁNEA
Orellana, 80, SI, MEDITERRÁNEA
Oquendo, 60, SI, MEDITERRÁNEA
Only One, 40, SI, BOCADILLO
Nuevo Rialto, 25, SI, TAPAS
Nuevo Cáceres, 40, NO, 
Nieves, 25, NO, 
New Golden, 40, SI, BURGUER
Neptuno , 70, SI, TAPAS
Nebbia, 25, NO, 
Más Que Tapas, 35, SI, TAPAS
Más Cachito, 16, SI, TAPAS
Mordisquitos, 40, SI, BURGUER
Montesol, 40, SI, TAPAS
Monterrey, 35, SI, TAPAS
Montebianco, 15, SI, HELADERÍA
Monroy, 30, SI, TAPAS
Mistura, 80, NO, 
Micro, 50, NO, 
Mesón del Jamón , 36, SI, TAPAS
Medas La Estación, 28, SI, TAPAS
McDonald's, 185, SI, BURGUER
Mastropiero, 80, SI, TAPAS
Martina, 40, NO, 
Mario & Marieta, 43, SI, MEDITERRÁNEA
Maria Mandiles, 60, NO, MEDITERRÁNEA
Manómetro, 40, SI, TAPAS
Manolo Bakes, 20, SI, PANADERÍA
Mandía, 50, SI, TAPAS
Makao, 40, NO, 
Maillard, 55, SI, TAPAS
Madruelo, 40, SI, MEDITERRÁNEA
MAWHI, 90, NO, 
L´avenir, 40, SI, 
Los Siete Jardines, 80, NO, 
Los Pájaros , 28, NO, 
Los Portales, 40, SI, TAPAS
Los Ibéricos, 40, SI, MEDITERRÁNEA
Los Golfines, 150, SI, MEDITERRÁNEA
Los Galayos, 30, SI, TAPAS
Los Baldíos, 55, SI, TAPAS
Los Arcos, 28, SI, TAPAS
